Price,Close,High,Low,Open,Volume,MA20
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,
Date,,,,,,
2026-03-02,865.0918579101562,873.3059762779105,857.3695443137591,861.9439110956672,38378924,
2026-03-04,854.5167846679688,864.993469417403,834.202743374385,834.202743374385,39862322,
2026-03-05,863.4686889648438,867.0593261570968,849.4505416361635,859.6321193633155,31324582,
2026-03-06,843.10546875,857.5171318697022,841.1871839599715,853.9264946975441,34439647,
2026-03-09,827.0215454101562,828.7430723323081,808.1339237415574,811.5769775858611,35592613,
2026-03-10,835.629150390625,842.8595391904452,826.923107096334,836.2193641547399,52866024,
2026-03-11,820.38134765625,835.0388833093358,814.1346283989498,831.2515482012323,42261076,
2026-03-12,819.2008666992188,822.7915039414563,806.7566625998296,806.7566625998296,46107561,
2026-03-13,803.7071533203125,810.3965031755142,798.7885048911796,806.6583423777922,41700464,
2026-03-16,826.9231567382812,830.7597265616207,802.3791489072894,803.7071599773169,52182605,
2026-03-17,831.5958251953125,835.0881134427475,821.5125964091002,833.907625869114,38826979,
2026-03-18,829.333251953125,833.0222380629118,818.0695356894909,831.5958180920426,23507063,
2026-03-19,785.2130126953125,802.3791069663046,757.4718247668609,757.4718247668609,171637393,
2026-03-20,767.7518310546875,780.8354236248008,765.5384393026802,772.2277890336613,103129469,
2026-03-23,732.04248046875,756.1930326018271,728.9928823726722,750.7333447737776,72341738,
2026-03-24,752.454833984375,760.1770877270425,735.5346719806084,742.7158864237038,61269986,
2026-03-25,769.5717163085938,781.8683373030494,755.7011518436857,755.7011518436857,59230640,
2026-03-27,743.8963623046875,762.2921184952538,742.2731843894259,760.6197661066401,65485199,
2026-03-30,719.6473999023438,738.7809532430898,714.8271607333363,733.0753333889118,103500135,
2026-04-01,730.17333984375,743.6012737142313,727.0745673991486,730.9111370884557,78862761,801.0363037109375
2026-04-02,738.6826171875,742.7158847301245,714.8271732077576,718.1226435138951,49310300,794.7158416748047
2026-04-06,758.45556640625,760.1770933079504,732.8785952952741,746.6508105088765,42976659,789.9127807617188
2026-04-07,759.4392700195312,761.4067292682865,748.6182441513773,753.5368922732654,51309793,784.7113098144531
2026-04-08,802.82177734375,804.4941298279846,783.0488345582994,786.9837533249241,70269512,782.6971252441406
2026-04-09,784.72119140625,805.674621946626,780.1959987742106,801.7397031581198,48879392,780.5821075439453
2026-04-10,797.1161499023438,799.0344347920734,787.9674758614352,790.9186649096054,38156026,778.6564575195313
2026-04-13,781.7699584960938,785.5081191272287,774.5395096022282,778.6220116333144,47549328,776.7258880615234
2026-04-15,796.72265625,801.5428954413671,790.9186273804953,791.8531825431569,39769515,775.6019775390625
2026-04-16,782.5077514648438,806.7074765090769,779.3106301457999,804.6908427624061,62861293,774.5420074462891
2026-04-17,786.8853759765625,790.8694690755784,775.3757269911107,777.2447773125524,37282544,772.5401184082032
2026-04-20,782.5077514648438,796.7718311959621,777.146412936798,784.130869340026,52148044,770.0857147216797
2026-04-21,798.5425415039062,801.6413139109341,782.2618278432276,782.2618278432276,49135752,768.5461791992187
2026-04-22,786.8853759765625,799.8213849297669,785.0162656130275,796.8210214869076,23876412,768.6297973632812
2026-04-23,771.5883178710938,783.6882404572269,769.7684420568696,779.1138736217773,37677616,768.8216217041015
2026-04-24,772.0802001953125,774.7854567622786,764.3579463755373,764.6530532653331,27720358,770.8235076904297
2026-04-27,776.9496459960938,780.0975928052393,772.227755803421,774.6870798664892,18115375,772.0482482910156
2026-04-28,769.817626953125,781.5732082997206,765.6367759332712,772.2277766082829,35366803,772.0605438232421
2026-04-29,766.3253784179688,777.1464043006358,764.7022005187322,772.7196209849993,25799963,773.1819946289063
2026-04-30,759.1441650390625,766.1286213727735,749.847908057028,757.4718126650201,47998755,775.1568328857422
2026-05-01,759.1441650390625,759.1441650390625,759.1441650390625,759.1441650390625,0,776.6053741455078
2026-05-04,766.7189331054688,773.8017387354295,760.0295232783589,760.0295232783589,29028060,778.0071899414063
2026-05-05,759.734375,764.2595672860843,751.2743242683289,761.8002432312857,38887657,778.0711303710938
2026-05-06,783.58984375,785.9508189360297,760.9148872376333,762.5380651832903,35530831,779.2786590576172
2026-05-07,783.0979614257812,788.5084744009563,775.7199891869062,781.0813276889071,46137553,778.2924682617188
2026-05-08,768.145263671875,775.9167518274592,764.5546865191014,771.2440360478325,38016841,777.463671875
2026-05-11,751.2251586914062,762.2428825536997,749.5036318326614,759.3901026416063,41123422,775.1691223144531
2026-05-12,738.2399291992188,747.3394284783378,735.6330216051203,744.2898305325124,43937132,772.9926208496094
2026-05-13,737.4037475585938,747.5853858194506,735.1903557682459,739.7647228184694,28960919,770.0266754150391
2026-05-14,757.0291748046875,765.6368096362314,734.846082190099,738.7810009702333,50992358,768.7527465820312
2026-05-15,755.0125122070312,769.1782432932904,752.9467039429112,760.4230253238243,24347873,767.1591033935547
2026-05-18,756.143798828125,761.5050772404568,739.1252283144738,746.6507839481793,29812079,765.8409057617188
2026-05-19,750.044677734375,758.2587962302428,747.8804605130283,754.2255287138954,40307830,763.4160125732421
2026-05-20,747.1427001953125,749.8479568451309,742.8635000569833,747.2410491475586,24013451,761.4288787841797
2026-05-21,746.7984008789062,755.7503168336749,742.8634822100684,754.5206547496631,34664725,760.1893829345703
2026-05-22,754.3239135742188,762.390509033052,746.7984174780529,746.7984174780529,25604071,759.3015686035156
2026-05-25,774.0476684570312,775.0313981291084,762.5872538025895,763.3742255318324,26043952,759.1564697265625
2026-05-26,766.22705078125,777.9825721015808,764.1120080103449,771.2932224692265,31528062,758.9769409179687
2026-05-27,746.3065185546875,761.3083956280444,744.584991677417,756.9799611769273,63680153,757.9759979248047
2026-05-28,746.3065185546875,746.3065185546875,746.3065185546875,746.3065185546875,0,757.334115600586
